English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score
KonoSuba: God's Blessing on This Wonderful World! - Legend of Crimson,8.45,"Adventure, Comedy, Fantasy",Movie,"Nippon Columbia, Toranoana, MAGES., 81 Produce, Sammy, Kadokawa Media House, Kadokawa, Sony Music Solutions",J.C.Staff,144.0,247,4690,457103.0,725216,83.6354356527686
ENDRO!,6.92,"Fantasy, Slice of Life",TV,"Egg Firm, Sega Games",Studio Gokumi,4313.0,2338,205,25886.0,73842,55.27664862832538
Kono Oto Tomare!: Sounds of Life,7.92,"Drama, Romance",TV,"WOWOW, Movic, KlockWorx, Memory-Tech, King Records, Shueisha, Pony Canyon Enterprise",Platinum Vision,693.0,795,2265,111904.0,283470,70.04182653596065
Xuan Yuan Sword Luminary,6.01,"Action, Adventure, Fantasy",TV,"TV Tokyo, Ai Addiction",Studio Deen,8763.0,4921,19,5002.0,16830,38.79460846505912
Fate/Grand Order: Absolute Demonic Front - Babylonia,7.94,"Action, Fantasy, Supernatural",TV,"Aniplex, Notes, Delightworks",CloverWorks,659.0,845,2443,124834.0,265020,71.0748509822986
Fate/Grand Order: Divine Realm of the Round Table - Camelot Wandering; Agateram,6.85,"Action, Fantasy, Supernatural",Movie,"Production I.G, Aniplex, Notes, Delightworks",Signal.MD,4636.0,2178,140,32184.0,82077,57.193727066399056
Fate/Grand Order: Divine Realm of the Round Table - Camelot Paladin; Agateram,7.58,"Action, Fantasy, Supernatural",Movie,"Aniplex, Notes, Delightworks",Production I.G,1434.0,2490,165,23488.0,66561,55.22017796990188
"Welcome, Chitose",6.69,"Comedy, Slice of Life",TV,VAP,Gathering,5391.0,7323,14,1693.0,6227,29.78086454466176
Cinderella Nine,6.11,Sports,TV,"TV Tokyo, Victor Entertainment, AT-X",TMS Entertainment,8317.0,3988,34,9611.0,27020,44.9776434836765
MIX,7.22,"Drama, Romance, Sports",TV,"Shogakukan-Shueisha Productions, Yomiuri Telecasting",OLM,2951.0,4254,64,9179.0,23608,46.094432351458224
The Quintessential Quintuplets,7.66,"Comedy, Romance",TV,"Pony Canyon, Kodansha, ZERO-A, GYAO!",Tezuka Productions,1238.0,171,13209,576270.0,890586,84.86836561453237
Tales of Puppet,5.95,"Comedy, Fantasy",ONA,Bandai Namco Entertainment,DLE,9064.0,13252,0,137.0,828,5.49072170614146
My Roommate is a Cat,7.73,Slice of Life,TV,"AT-X, NBCUniversal Entertainment Japan, Tokyo MX, Avex Pictures, Q-Tec, BS11, ABC Animation, GYAO!, BookLive",Zero-G,1066.0,1179,1204,86678.0,186091,67.45871479078345
NAMUAMIDABUTSU! -UTENA-,6.06,Fantasy,TV,DMM pictures,Asahi Production,8566.0,5196,28,3446.0,14435,35.43024850116685
Case File nº221: Kabukicho,6.89,"Comedy, Drama, Mystery",TV,"Mainichi Broadcasting System, Movic, Glovision, DMM pictures, Kadokawa",Production I.G,4433.0,2200,190,24391.0,81129,54.68718673715057
Rinshi!! Ekodachan,5.53,"Comedy, Slice of Life",TV,"Sotsu, AT-X, Tokyo MX, Exit Tunes, Radio Osaka, Rakuten, Cloud22","Kinema Citrus, Ascension, Creators in Pack, Zero-G",10678.0,5853,18,3609.0,10791,35.0118950898135
We Never Learn: BOKUBEN,7.28,"Comedy, Romance",TV,"Aniplex, Movic, Barnum Studio, Magic Capsule, Shueisha, BS11, ADK","Silver, Arvo Animation",2608.0,509,1613,218811.0,419540,75.45608632115851
Sakugan,6.51,"Adventure, Comedy, Sci-Fi",TV,"VAP, Sotsu, Mainichi Broadcasting System, Bandai, Asmik Ace, Tohokushinsha Film Corporation, Sammy, DeNA, Nippon Cultural Broadcasting, Bandai Namco Arts, Bandai Spirits, NetEase, Fosun Entertainment Japan",Satelight,6344.0,1972,273,30030.0,97398,56.083910828692694
Mr. Osomatsu the Movie,7.87,Comedy,Movie,Shochiku,Pierrot,781.0,5184,82,5973.0,14475,42.92274490318964
THE IDOLM@STER SideM Wakeatte Mini!,6.24,"Comedy, Slice of Life",TV,"Lantis, Bandai Namco Entertainment",Zero-G,7701.0,8898,7,1141.0,3649,25.494395084939455
Amazing Stranger,5.97,"Comedy, Romance, Sci-Fi",TV,"AT-X, Seven, Futabasha, A-Craft, AQUA ARIS",Studio A-CAT,8955.0,4881,27,7489.0,17094,42.45987275815446
